Time	Node	Type	Packets	
2	Node1	CacheHits	0
2	Node1	CacheMisses	0
2	Node2	CacheHits	0
2	Node2	CacheMisses	0
2	Node3	CacheHits	0
2	Node3	CacheMisses	0
2	Node4	CacheHits	0
2	Node4	CacheMisses	0
2	Node5	CacheHits	0
2	Node5	CacheMisses	0
2	Node6	CacheHits	0
2	Node6	CacheMisses	0
2	Node7	CacheHits	0
2	Node7	CacheMisses	0
2	Node8	CacheHits	0
2	Node8	CacheMisses	0
2	Node9	CacheHits	0
2	Node9	CacheMisses	0
2	Node10	CacheHits	0
2	Node10	CacheMisses	0
2	Node11	CacheHits	0
2	Node11	CacheMisses	0
2	Node12	CacheHits	0
2	Node12	CacheMisses	0
2	Node13	CacheHits	0
2	Node13	CacheMisses	0
2	Node14	CacheHits	0
2	Node14	CacheMisses	0
2	Node15	CacheHits	0
2	Node15	CacheMisses	0
2	Node16	CacheHits	0
2	Node16	CacheMisses	0
2	Node17	CacheHits	0
2	Node17	CacheMisses	0
2	Node18	CacheHits	0
2	Node18	CacheMisses	0
2	Node19	CacheHits	0
2	Node19	CacheMisses	0
2	Node20	CacheHits	0
2	Node20	CacheMisses	0
2	Node21	CacheHits	0
2	Node21	CacheMisses	0
2	Node22	CacheHits	0
2	Node22	CacheMisses	0
2	Node23	CacheHits	0
2	Node23	CacheMisses	0
2	Node24	CacheHits	0
2	Node24	CacheMisses	0
4	Node1	CacheHits	0
4	Node1	CacheMisses	0
4	Node2	CacheHits	0
4	Node2	CacheMisses	0
4	Node3	CacheHits	0
4	Node3	CacheMisses	0
4	Node4	CacheHits	0
4	Node4	CacheMisses	0
4	Node5	CacheHits	0
4	Node5	CacheMisses	0
4	Node6	CacheHits	0
4	Node6	CacheMisses	0
4	Node7	CacheHits	0
4	Node7	CacheMisses	0
4	Node8	CacheHits	0
4	Node8	CacheMisses	0
4	Node9	CacheHits	0
4	Node9	CacheMisses	0
4	Node10	CacheHits	0
4	Node10	CacheMisses	0
4	Node11	CacheHits	0
4	Node11	CacheMisses	0
4	Node12	CacheHits	0
4	Node12	CacheMisses	0
4	Node13	CacheHits	0
4	Node13	CacheMisses	0
4	Node14	CacheHits	0
4	Node14	CacheMisses	0
4	Node15	CacheHits	0
4	Node15	CacheMisses	0
4	Node16	CacheHits	0
4	Node16	CacheMisses	0
4	Node17	CacheHits	0
4	Node17	CacheMisses	0
4	Node18	CacheHits	0
4	Node18	CacheMisses	0
4	Node19	CacheHits	0
4	Node19	CacheMisses	0
4	Node20	CacheHits	0
4	Node20	CacheMisses	0
4	Node21	CacheHits	0
4	Node21	CacheMisses	0
4	Node22	CacheHits	0
4	Node22	CacheMisses	0
4	Node23	CacheHits	0
4	Node23	CacheMisses	0
4	Node24	CacheHits	0
4	Node24	CacheMisses	0
6	Node1	CacheHits	0
6	Node1	CacheMisses	0
6	Node2	CacheHits	0
6	Node2	CacheMisses	0
6	Node3	CacheHits	0
6	Node3	CacheMisses	0
6	Node4	CacheHits	0
6	Node4	CacheMisses	0
6	Node5	CacheHits	0
6	Node5	CacheMisses	0
6	Node6	CacheHits	0
6	Node6	CacheMisses	0
6	Node7	CacheHits	0
6	Node7	CacheMisses	0
6	Node8	CacheHits	0
6	Node8	CacheMisses	0
6	Node9	CacheHits	0
6	Node9	CacheMisses	0
6	Node10	CacheHits	0
6	Node10	CacheMisses	0
6	Node11	CacheHits	0
6	Node11	CacheMisses	0
6	Node12	CacheHits	0
6	Node12	CacheMisses	0
6	Node13	CacheHits	0
6	Node13	CacheMisses	0
6	Node14	CacheHits	0
6	Node14	CacheMisses	0
6	Node15	CacheHits	0
6	Node15	CacheMisses	0
6	Node16	CacheHits	0
6	Node16	CacheMisses	0
6	Node17	CacheHits	0
6	Node17	CacheMisses	0
6	Node18	CacheHits	0
6	Node18	CacheMisses	0
6	Node19	CacheHits	0
6	Node19	CacheMisses	0
6	Node20	CacheHits	0
6	Node20	CacheMisses	0
6	Node21	CacheHits	0
6	Node21	CacheMisses	0
6	Node22	CacheHits	0
6	Node22	CacheMisses	0
6	Node23	CacheHits	0
6	Node23	CacheMisses	0
6	Node24	CacheHits	0
6	Node24	CacheMisses	0
8	Node1	CacheHits	0
8	Node1	CacheMisses	0
8	Node2	CacheHits	0
8	Node2	CacheMisses	0
8	Node3	CacheHits	0
8	Node3	CacheMisses	0
8	Node4	CacheHits	0
8	Node4	CacheMisses	0
8	Node5	CacheHits	0
8	Node5	CacheMisses	0
8	Node6	CacheHits	0
8	Node6	CacheMisses	0
8	Node7	CacheHits	0
8	Node7	CacheMisses	0
8	Node8	CacheHits	0
8	Node8	CacheMisses	0
8	Node9	CacheHits	0
8	Node9	CacheMisses	0
8	Node10	CacheHits	0
8	Node10	CacheMisses	0
8	Node11	CacheHits	0
8	Node11	CacheMisses	0
8	Node12	CacheHits	0
8	Node12	CacheMisses	0
8	Node13	CacheHits	0
8	Node13	CacheMisses	0
8	Node14	CacheHits	0
8	Node14	CacheMisses	0
8	Node15	CacheHits	0
8	Node15	CacheMisses	0
8	Node16	CacheHits	0
8	Node16	CacheMisses	0
8	Node17	CacheHits	0
8	Node17	CacheMisses	0
8	Node18	CacheHits	0
8	Node18	CacheMisses	0
8	Node19	CacheHits	0
8	Node19	CacheMisses	0
8	Node20	CacheHits	0
8	Node20	CacheMisses	0
8	Node21	CacheHits	0
8	Node21	CacheMisses	0
8	Node22	CacheHits	0
8	Node22	CacheMisses	0
8	Node23	CacheHits	0
8	Node23	CacheMisses	0
8	Node24	CacheHits	0
8	Node24	CacheMisses	0
10	Node1	CacheHits	0
10	Node1	CacheMisses	0
10	Node2	CacheHits	0
10	Node2	CacheMisses	0
10	Node3	CacheHits	0
10	Node3	CacheMisses	0
10	Node4	CacheHits	0
10	Node4	CacheMisses	0
10	Node5	CacheHits	0
10	Node5	CacheMisses	0
10	Node6	CacheHits	0
10	Node6	CacheMisses	0
10	Node7	CacheHits	0
10	Node7	CacheMisses	0
10	Node8	CacheHits	0
10	Node8	CacheMisses	0
10	Node9	CacheHits	0
10	Node9	CacheMisses	0
10	Node10	CacheHits	0
10	Node10	CacheMisses	0
10	Node11	CacheHits	0
10	Node11	CacheMisses	0
10	Node12	CacheHits	0
10	Node12	CacheMisses	0
10	Node13	CacheHits	0
10	Node13	CacheMisses	0
10	Node14	CacheHits	0
10	Node14	CacheMisses	0
10	Node15	CacheHits	0
10	Node15	CacheMisses	0
10	Node16	CacheHits	0
10	Node16	CacheMisses	0
10	Node17	CacheHits	0
10	Node17	CacheMisses	0
10	Node18	CacheHits	0
10	Node18	CacheMisses	0
10	Node19	CacheHits	0
10	Node19	CacheMisses	0
10	Node20	CacheHits	0
10	Node20	CacheMisses	0
10	Node21	CacheHits	0
10	Node21	CacheMisses	0
10	Node22	CacheHits	0
10	Node22	CacheMisses	0
10	Node23	CacheHits	0
10	Node23	CacheMisses	0
10	Node24	CacheHits	0
10	Node24	CacheMisses	0
12	Node1	CacheHits	0
12	Node1	CacheMisses	0
12	Node2	CacheHits	0
12	Node2	CacheMisses	0
12	Node3	CacheHits	0
12	Node3	CacheMisses	0
12	Node4	CacheHits	0
12	Node4	CacheMisses	0
12	Node5	CacheHits	0
12	Node5	CacheMisses	0
12	Node6	CacheHits	0
12	Node6	CacheMisses	0
12	Node7	CacheHits	0
12	Node7	CacheMisses	0
12	Node8	CacheHits	0
12	Node8	CacheMisses	0
12	Node9	CacheHits	0
12	Node9	CacheMisses	0
12	Node10	CacheHits	0
12	Node10	CacheMisses	0
12	Node11	CacheHits	0
12	Node11	CacheMisses	0
12	Node12	CacheHits	0
12	Node12	CacheMisses	0
12	Node13	CacheHits	0
12	Node13	CacheMisses	0
12	Node14	CacheHits	0
12	Node14	CacheMisses	0
12	Node15	CacheHits	0
12	Node15	CacheMisses	0
12	Node16	CacheHits	0
12	Node16	CacheMisses	0
12	Node17	CacheHits	0
12	Node17	CacheMisses	0
12	Node18	CacheHits	0
12	Node18	CacheMisses	0
12	Node19	CacheHits	0
12	Node19	CacheMisses	0
12	Node20	CacheHits	0
12	Node20	CacheMisses	0
12	Node21	CacheHits	0
12	Node21	CacheMisses	0
12	Node22	CacheHits	0
12	Node22	CacheMisses	0
12	Node23	CacheHits	0
12	Node23	CacheMisses	0
12	Node24	CacheHits	0
12	Node24	CacheMisses	0
14	Node1	CacheHits	0
14	Node1	CacheMisses	0
14	Node2	CacheHits	0
14	Node2	CacheMisses	0
14	Node3	CacheHits	0
14	Node3	CacheMisses	0
14	Node4	CacheHits	0
14	Node4	CacheMisses	0
14	Node5	CacheHits	0
14	Node5	CacheMisses	0
14	Node6	CacheHits	0
14	Node6	CacheMisses	0
14	Node7	CacheHits	0
14	Node7	CacheMisses	0
14	Node8	CacheHits	0
14	Node8	CacheMisses	0
14	Node9	CacheHits	0
14	Node9	CacheMisses	0
14	Node10	CacheHits	0
14	Node10	CacheMisses	0
14	Node11	CacheHits	0
14	Node11	CacheMisses	0
14	Node12	CacheHits	0
14	Node12	CacheMisses	0
14	Node13	CacheHits	0
14	Node13	CacheMisses	0
14	Node14	CacheHits	0
14	Node14	CacheMisses	0
14	Node15	CacheHits	0
14	Node15	CacheMisses	0
14	Node16	CacheHits	0
14	Node16	CacheMisses	0
14	Node17	CacheHits	0
14	Node17	CacheMisses	0
14	Node18	CacheHits	0
14	Node18	CacheMisses	0
14	Node19	CacheHits	0
14	Node19	CacheMisses	0
14	Node20	CacheHits	0
14	Node20	CacheMisses	0
14	Node21	CacheHits	0
14	Node21	CacheMisses	0
14	Node22	CacheHits	0
14	Node22	CacheMisses	0
14	Node23	CacheHits	0
14	Node23	CacheMisses	0
14	Node24	CacheHits	0
14	Node24	CacheMisses	0
16	Node1	CacheHits	0
16	Node1	CacheMisses	0
16	Node2	CacheHits	0
16	Node2	CacheMisses	0
16	Node3	CacheHits	0
16	Node3	CacheMisses	0
16	Node4	CacheHits	0
16	Node4	CacheMisses	0
16	Node5	CacheHits	0
16	Node5	CacheMisses	0
16	Node6	CacheHits	0
16	Node6	CacheMisses	0
16	Node7	CacheHits	0
16	Node7	CacheMisses	0
16	Node8	CacheHits	0
16	Node8	CacheMisses	0
16	Node9	CacheHits	0
16	Node9	CacheMisses	0
16	Node10	CacheHits	0
16	Node10	CacheMisses	0
16	Node11	CacheHits	0
16	Node11	CacheMisses	0
16	Node12	CacheHits	0
16	Node12	CacheMisses	0
16	Node13	CacheHits	0
16	Node13	CacheMisses	0
16	Node14	CacheHits	0
16	Node14	CacheMisses	0
16	Node15	CacheHits	0
16	Node15	CacheMisses	0
16	Node16	CacheHits	0
16	Node16	CacheMisses	0
16	Node17	CacheHits	0
16	Node17	CacheMisses	0
16	Node18	CacheHits	0
16	Node18	CacheMisses	0
16	Node19	CacheHits	0
16	Node19	CacheMisses	0
16	Node20	CacheHits	0
16	Node20	CacheMisses	0
16	Node21	CacheHits	0
16	Node21	CacheMisses	0
16	Node22	CacheHits	0
16	Node22	CacheMisses	0
16	Node23	CacheHits	0
16	Node23	CacheMisses	0
16	Node24	CacheHits	0
16	Node24	CacheMisses	0
18	Node1	CacheHits	0
18	Node1	CacheMisses	0
18	Node2	CacheHits	0
18	Node2	CacheMisses	0
18	Node3	CacheHits	0
18	Node3	CacheMisses	0
18	Node4	CacheHits	0
18	Node4	CacheMisses	0
18	Node5	CacheHits	0
18	Node5	CacheMisses	0
18	Node6	CacheHits	0
18	Node6	CacheMisses	0
18	Node7	CacheHits	0
18	Node7	CacheMisses	0
18	Node8	CacheHits	0
18	Node8	CacheMisses	0
18	Node9	CacheHits	0
18	Node9	CacheMisses	0
18	Node10	CacheHits	0
18	Node10	CacheMisses	0
18	Node11	CacheHits	0
18	Node11	CacheMisses	0
