Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
1.14659	Node0	0	1	LastDelay	0.146592	146592	1	3
1.14659	Node0	0	1	FullDelay	0.146592	146592	1	3
1.27874	Node0	0	2	LastDelay	0.146592	146592	1	3
1.27874	Node0	0	2	FullDelay	0.146592	146592	1	3
1.42288	Node0	0	3	LastDelay	0.146592	146592	1	3
1.42288	Node0	0	3	FullDelay	0.146592	146592	1	3
1.50625	Node0	0	4	LastDelay	0.146592	146592	1	3
1.50625	Node0	0	4	FullDelay	0.146592	146592	1	3
1.56494	Node0	0	5	LastDelay	0.146592	146592	1	3
1.56494	Node0	0	5	FullDelay	0.146592	146592	1	3
1.66716	Node0	0	6	LastDelay	0.146592	146592	1	3
1.66716	Node0	0	6	FullDelay	0.146592	146592	1	3
1.84773	Node0	0	7	LastDelay	0.146592	146592	1	3
1.84773	Node0	0	7	FullDelay	0.146592	146592	1	3
1.97714	Node0	0	8	LastDelay	0.146592	146592	1	3
1.97714	Node0	0	8	FullDelay	0.146592	146592	1	3
2.04313	Node0	0	9	LastDelay	0.146592	146592	1	3
2.04313	Node0	0	9	FullDelay	0.146592	146592	1	3
2.16375	Node0	0	10	LastDelay	0.146592	146592	1	3
2.16375	Node0	0	10	FullDelay	0.146592	146592	1	3
2.2551	Node0	0	11	LastDelay	0.146592	146592	1	3
2.2551	Node0	0	11	FullDelay	0.146592	146592	1	3
2.38495	Node0	0	12	LastDelay	0.146592	146592	1	3
2.38495	Node0	0	12	FullDelay	0.146592	146592	1	3
2.44603	Node0	0	13	LastDelay	0.146592	146592	1	3
2.44603	Node0	0	13	FullDelay	0.146592	146592	1	3
2.57082	Node0	0	14	LastDelay	0.146592	146592	1	3
2.57082	Node0	0	14	FullDelay	0.146592	146592	1	3
2.63652	Node0	0	15	LastDelay	0.146592	146592	1	3
2.63652	Node0	0	15	FullDelay	0.146592	146592	1	3
2.69885	Node0	0	16	LastDelay	0.146592	146592	1	3
2.69885	Node0	0	16	FullDelay	0.146592	146592	1	3
2.73328	Node0	0	17	LastDelay	0.146592	146592	1	3
2.73328	Node0	0	17	FullDelay	0.146592	146592	1	3
2.86598	Node0	0	18	LastDelay	0.146592	146592	1	3
2.86598	Node0	0	18	FullDelay	0.146592	146592	1	3
3.02292	Node0	0	19	LastDelay	0.146592	146592	1	3
3.02292	Node0	0	19	FullDelay	0.146592	146592	1	3
3.21914	Node0	0	20	LastDelay	0.146592	146592	1	3
3.21914	Node0	0	20	FullDelay	0.146592	146592	1	3
3.38211	Node0	0	21	LastDelay	0.146592	146592	1	3
3.38211	Node0	0	21	FullDelay	0.146592	146592	1	3
3.50408	Node0	0	22	LastDelay	0.146592	146592	1	3
3.50408	Node0	0	22	FullDelay	0.146592	146592	1	3
3.51736	Node0	0	23	LastDelay	0.146592	146592	1	3
3.51736	Node0	0	23	FullDelay	0.146592	146592	1	3
3.55284	Node0	0	24	LastDelay	0.146592	146592	1	3
3.55284	Node0	0	24	FullDelay	0.146592	146592	1	3
3.59387	Node0	0	25	LastDelay	0.146592	146592	1	3
3.59387	Node0	0	25	FullDelay	0.146592	146592	1	3
3.67241	Node0	0	26	LastDelay	0.146592	146592	1	3
3.67241	Node0	0	26	FullDelay	0.146592	146592	1	3
3.7082	Node0	0	27	LastDelay	0.146592	146592	1	3
3.7082	Node0	0	27	FullDelay	0.146592	146592	1	3
3.84958	Node0	0	28	LastDelay	0.146592	146592	1	3
3.84958	Node0	0	28	FullDelay	0.146592	146592	1	3
3.98735	Node0	0	29	LastDelay	0.146592	146592	1	3
3.98735	Node0	0	29	FullDelay	0.146592	146592	1	3
4.1203	Node0	0	30	LastDelay	0.146592	146592	1	3
4.1203	Node0	0	30	FullDelay	0.146592	146592	1	3
4.18675	Node0	0	31	LastDelay	0.146592	146592	1	3
4.18675	Node0	0	31	FullDelay	0.146592	146592	1	3
4.34298	Node0	0	32	LastDelay	0.146592	146592	1	3
4.34298	Node0	0	32	FullDelay	0.146592	146592	1	3
4.3906	Node0	0	33	LastDelay	0.146592	146592	1	3
4.3906	Node0	0	33	FullDelay	0.146592	146592	1	3
4.49606	Node0	0	34	LastDelay	0.146592	146592	1	3
4.49606	Node0	0	34	FullDelay	0.146592	146592	1	3
4.60064	Node0	0	35	LastDelay	0.146592	146592	1	3
4.60064	Node0	0	35	FullDelay	0.146592	146592	1	3
4.77383	Node0	0	36	LastDelay	0.146592	146592	1	3
4.77383	Node0	0	36	FullDelay	0.146592	146592	1	3
4.87123	Node0	0	37	LastDelay	0.146592	146592	1	3
4.87123	Node0	0	37	FullDelay	0.146592	146592	1	3
5.04682	Node0	0	38	LastDelay	0.146592	146592	1	3
5.04682	Node0	0	38	FullDelay	0.146592	146592	1	3
5.05691	Node0	0	39	LastDelay	0.146592	146592	1	3
5.05691	Node0	0	39	FullDelay	0.146592	146592	1	3
5.2175	Node0	0	40	LastDelay	0.146592	146592	1	3
5.2175	Node0	0	40	FullDelay	0.146592	146592	1	3
5.35752	Node0	0	41	LastDelay	0.146592	146592	1	3
5.35752	Node0	0	41	FullDelay	0.146592	146592	1	3
5.51827	Node0	0	42	LastDelay	0.146592	146592	1	3
5.51827	Node0	0	42	FullDelay	0.146592	146592	1	3
5.68283	Node0	0	43	LastDelay	0.146592	146592	1	3
5.68283	Node0	0	43	FullDelay	0.146592	146592	1	3
5.8254	Node0	0	44	LastDelay	0.146592	146592	1	3
5.8254	Node0	0	44	FullDelay	0.146592	146592	1	3
5.83418	Node0	0	45	LastDelay	0.146592	146592	1	3
5.83418	Node0	0	45	FullDelay	0.146592	146592	1	3
5.84276	Node0	0	46	LastDelay	0.153229	153229	1	3
5.84276	Node0	0	46	FullDelay	0.153229	153229	1	3
5.96573	Node0	0	47	LastDelay	0.146592	146592	1	3
5.96573	Node0	0	47	FullDelay	0.146592	146592	1	3
6.05605	Node0	0	48	LastDelay	0.146592	146592	1	3
6.05605	Node0	0	48	FullDelay	0.146592	146592	1	3
6.06463	Node0	0	49	LastDelay	0.152144	152144	1	3
6.06463	Node0	0	49	FullDelay	0.152144	152144	1	3
6.08856	Node0	0	50	LastDelay	0.146592	146592	1	3
6.08856	Node0	0	50	FullDelay	0.146592	146592	1	3
6.27912	Node0	0	51	LastDelay	0.146592	146592	1	3
6.27912	Node0	0	51	FullDelay	0.146592	146592	1	3
6.29052	Node0	0	52	LastDelay	0.146592	146592	1	3
6.29052	Node0	0	52	FullDelay	0.146592	146592	1	3
6.47712	Node0	0	53	LastDelay	0.146592	146592	1	3
6.47712	Node0	0	53	FullDelay	0.146592	146592	1	3
6.51099	Node0	0	54	LastDelay	0.146592	146592	1	3
6.51099	Node0	0	54	FullDelay	0.146592	146592	1	3
6.52367	Node0	0	55	LastDelay	0.146592	146592	1	3
6.52367	Node0	0	55	FullDelay	0.146592	146592	1	3
6.55581	Node0	0	56	LastDelay	0.146592	146592	1	3
6.55581	Node0	0	56	FullDelay	0.146592	146592	1	3
6.67122	Node0	0	57	LastDelay	0.146592	146592	1	3
6.67122	Node0	0	57	FullDelay	0.146592	146592	1	3
6.73518	Node0	0	58	LastDelay	0.146592	146592	1	3
6.73518	Node0	0	58	FullDelay	0.146592	146592	1	3
6.85743	Node0	0	59	LastDelay	0.146592	146592	1	3
6.85743	Node0	0	59	FullDelay	0.146592	146592	1	3
6.92015	Node0	0	60	LastDelay	0.146592	146592	1	3
6.92015	Node0	0	60	FullDelay	0.146592	146592	1	3
6.95563	Node0	0	61	LastDelay	0.146592	146592	1	3
6.95563	Node0	0	61	FullDelay	0.146592	146592	1	3
7.04887	Node0	0	62	LastDelay	0.146592	146592	1	3
7.04887	Node0	0	62	FullDelay	0.146592	146592	1	3
7.20459	Node0	0	63	LastDelay	0.146592	146592	1	3
7.20459	Node0	0	63	FullDelay	0.146592	146592	1	3
7.25776	Node0	0	64	LastDelay	0.146592	146592	1	3
7.25776	Node0	0	64	FullDelay	0.146592	146592	1	3
7.31578	Node0	0	65	LastDelay	0.146592	146592	1	3
7.31578	Node0	0	65	FullDelay	0.146592	146592	1	3
7.40855	Node0	0	66	LastDelay	0.146592	146592	1	3
7.40855	Node0	0	66	FullDelay	0.146592	146592	1	3
7.44938	Node0	0	67	LastDelay	0.146592	146592	1	3
7.44938	Node0	0	67	FullDelay	0.146592	146592	1	3
7.64237	Node0	0	68	LastDelay	0.146592	146592	1	3
7.64237	Node0	0	68	FullDelay	0.146592	146592	1	3
7.83879	Node0	0	69	LastDelay	0.146592	146592	1	3
7.83879	Node0	0	69	FullDelay	0.146592	146592	1	3
7.93885	Node0	0	70	LastDelay	0.146592	146592	1	3
7.93885	Node0	0	70	FullDelay	0.146592	146592	1	3
7.95798	Node0	0	71	LastDelay	0.146592	146592	1	3
7.95798	Node0	0	71	FullDelay	0.146592	146592	1	3
8.13256	Node0	0	72	LastDelay	0.146592	146592	1	3
8.13256	Node0	0	72	FullDelay	0.146592	146592	1	3
8.14113	Node0	0	73	LastDelay	0.148694	148694	1	3
8.14113	Node0	0	73	FullDelay	0.148694	148694	1	3
8.23018	Node0	0	74	LastDelay	0.146592	146592	1	3
8.23018	Node0	0	74	FullDelay	0.146592	146592	1	3
8.25394	Node0	0	75	LastDelay	0.146592	146592	1	3
8.25394	Node0	0	75	FullDelay	0.146592	146592	1	3
8.35209	Node0	0	76	LastDelay	0.146592	146592	1	3
8.35209	Node0	0	76	FullDelay	0.146592	146592	1	3
8.53662	Node0	0	77	LastDelay	0.146592	146592	1	3
8.53662	Node0	0	77	FullDelay	0.146592	146592	1	3
8.5521	Node0	0	78	LastDelay	0.146592	146592	1	3
8.5521	Node0	0	78	FullDelay	0.146592	146592	1	3
8.6942	Node0	0	79	LastDelay	0.146592	146592	1	3
8.6942	Node0	0	79	FullDelay	0.146592	146592	1	3
8.79683	Node0	0	80	LastDelay	0.146592	146592	1	3
8.79683	Node0	0	80	FullDelay	0.146592	146592	1	3
8.91441	Node0	0	81	LastDelay	0.146592	146592	1	3
8.91441	Node0	0	81	FullDelay	0.146592	146592	1	3
8.95695	Node0	0	82	LastDelay	0.146592	146592	1	3
8.95695	Node0	0	82	FullDelay	0.146592	146592	1	3
9.05236	Node0	0	83	LastDelay	0.146592	146592	1	3
9.05236	Node0	0	83	FullDelay	0.146592	146592	1	3
9.115	Node0	0	84	LastDelay	0.146592
